F-volt,V-volt,P-volt,Object,Object Name
4.042033236,4.677419355,4.393939394,H,W
4.437927664,4.965786901,4.437927664,H,W
4.447702835,4.81427175,4.447702835,H,W
4.457478006,4.716520039,4.462365591,H,W
4.457478006,4.560117302,4.472140762,H,W
4.457478006,4.442815249,4.481915934,H,W
4.457478006,4.423264907,4.49657869,H,W
4.462365591,4.408602151,4.49657869,H,W
0.004887586,0,4.340175953,H,W
0,0,3.802541544,H,W
4.467253177,5,4.506353861,H,W
4.481915934,4.941348974,4.521016618,H,W
4.486803519,4.809384164,4.516129032,H,W
4.486803519,4.740957967,4.516129032,H,W
4.49657869,4.692082111,4.521016618,H,W
4.491691105,4.608993157,4.525904203,H,W
0.112414467,0,4.45259042,H,W
0,0,3.914956012,H,W
0,0.014662757,3.352883675,H,W
0,0.097751711,3.167155425,H,W
4.423264907,5,4.457478006,H,W
4.49657869,4.897360704,4.521016618,H,W
4.501466276,4.662756598,4.521016618,H,W
4.506353861,4.530791789,4.521016618,H,W
4.506353861,4.413489736,4.525904203,H,W
4.516129032,4.315738025,4.530791789,H,W
4.511241447,4.261974585,4.535679374,H,W
0.004887586,0,4.217986315,H,W
0,0,3.699902248,H,W
0,0,3.338220919,H,W
0,0.048875855,3.103616813,H,W
0,0.102639296,2.619745846,H,W
0,0.146627566,2.595307918,H,W
0,0.200391007,2.062561095,H,W
0.004887586,0.205278592,1.906158358,H,W
0,0.205278592,1.705767351,H,W
0,0.22971652,1.803519062,H,W
0,0.293255132,1.598240469,H,W
4.491691105,5,4.521016618,H,W
4.506353861,4.765395894,4.535679374,H,W
4.511241447,4.594330401,4.54056696,H,W
4.511241447,4.638318671,4.550342131,H,W
4.511241447,4.535679374,4.550342131,H,W
4.516129032,4.457478006,4.555229717,H,W
4.521016618,4.349951124,4.555229717,H,W
4.516129032,4.261974585,4.550342131,H,W
4.521016618,4.232649071,4.550342131,H,W
4.521016618,4.169110459,4.550342131,H,W
4.521016618,4.12512219,4.550342131,H,W
0,0,4.042033236,H,W
0,0,3.582600196,H,W
0.004887586,0,3.201368524,H,W
0,0,3.084066471,H,W
0,0.009775171,2.810361681,H,W
0,0.239491691,4.301075269,H,W
4.521016618,4.990224829,4.545454545,H,W
4.521016618,4.740957967,4.555229717,H,W
4.525904203,4.613880743,4.550342131,H,W
4.530791789,4.462365591,4.550342131,H,W
4.530791789,4.369501466,4.550342131,H,W
4.535679374,4.291300098,4.550342131,H,W
0.004887586,0,3.99315738,H,W
0.004887586,0,3.792766373,H,W
0,0,3.181818182,H,W
0,0,2.790811339,H,W
0,0.04398827,2.717497556,H,W
0,0.019550342,2.434017595,H,W
0,0.04398827,2.106549365,H,W
0,0.078201369,2.116324536,H,W
0,0.092864125,1.964809384,H,W
0.004887586,0.136852395,1.827956989,H,W
4.486803519,5,4.545454545,H,W
4.511241447,4.85826002,4.555229717,H,W
4.516129032,4.716520039,4.565004888,H,W
4.525904203,4.613880743,4.565004888,H,W
4.530791789,4.506353861,4.565004888,H,W
4.535679374,4.423264907,4.569892473,H,W
4.530791789,4.389051808,4.565004888,H,W
0.239491691,0,4.320625611,H,W
0,0,3.308895406,H,W
0.004887586,0,3.328445748,H,W
0,0.053763441,2.93255132,H,W
0.004887586,0.092864125,2.507331378,H,W
0,0.156402737,2.517106549,H,W
0,0.219941349,2.170087977,H,W
4.521016618,5,4.569892473,H,W
4.530791789,4.848484848,4.574780059,H,W
4.535679374,4.77028348,4.579667644,H,W
4.54056696,4.687194526,4.58455523,H,W
4.54056696,4.623655914,4.58455523,H,W
4.545454545,4.535679374,4.58455523,H,W
4.545454545,4.477028348,4.58455523,H,W
0,0,4.12512219,H,W
0,0,3.431085044,H,W
0,0,3.250244379,H,W
0,0.058651026,2.927663734,H,W
0,0.08797654,2.688172043,H,W
0,0.127077224,2.590420332,H,W
0,0.161290323,2.077223851,H,W
0,0.180840665,2.121212121,H,W
4.447702835,5,4.516129032,H,W
4.525904203,5,4.565004888,H,W
4.54056696,4.828934506,4.579667644,H,W
0.004887586,0,4.120234604,H,W
0,0,3.475073314,H,W
0.004887586,0,3.113391984,H,W
0,0.034213099,2.766373412,H,W
0,0.102639296,2.737047898,H,W
4.550342131,5,4.58455523,H,W
4.555229717,4.916911046,4.594330401,H,W
0,0,4.134897361,H,W
0.004887586,0,3.563049853,H,W
0,0,3.025415445,H,W
0,0.009775171,2.834799609,H,W
0,0.073313783,2.482893451,H,W
0.004887586,0.073313783,2.282502444,H,W
0,0.166177908,2.043010753,H,W
0,0.205278592,2.038123167,H,W
4.555229717,5,4.58455523,H,W
4.565004888,4.877810362,4.604105572,H,W
4.565004888,4.731182796,4.599217986,H,W
4.569892473,4.594330401,4.604105572,H,W
4.569892473,4.58455523,4.608993157,H,W
4.569892473,4.516129032,4.613880743,H,W
4.569892473,4.457478006,4.613880743,H,W
4.574780059,4.457478006,4.608993157,H,W
4.569892473,4.428152493,4.613880743,H,W
4.574780059,4.374389052,4.608993157,H,W
4.574780059,4.359726295,4.613880743,H,W
4.574780059,4.320625611,4.618768328,H,W
0.063538612,0,3.890518084,H,W
0,0,3.416422287,H,W
0,0,2.839687195,H,W
0,0,2.644183773,H,W
0,0,2.649071359,H,W
0,0,2.174975562,H,W
4.565004888,5,4.594330401,H,W
4.574780059,4.877810362,4.604105572,H,W
4.58455523,4.868035191,4.613880743,H,W
4.58455523,4.780058651,4.613880743,H,W
4.579667644,4.701857283,4.618768328,H,W
4.58455523,4.652981427,4.613880743,H,W
0.004887586,0,4.002932551,H,W
0,0,3.299120235,H,W
0.004887586,0,3.240469208,H,W
0,0,2.766373412,H,W
0,0.073313783,2.7028348,H,W
0.009775171,0.073313783,2.282502444,H,W
0,0.107526882,2.043010753,H,W
0,0.151515152,2.126099707,H,W
4.521016618,5,4.555229717,H,W
4.579667644,4.995112414,4.608993157,H,W
4.58455523,4.91202346,4.618768328,H,W
4.589442815,4.77028348,4.6285435,H,W
4.589442815,4.648093842,4.623655914,H,W
0.752688172,0,4.164222874,H,W
0.004887586,0,3.225806452,H,W
0,0,3.167155425,H,W
0,0.039100684,2.605083089,H,W
0,0.092864125,2.512218964,H,W
4.589442815,5,4.613880743,H,W
4.594330401,4.833822092,4.618768328,H,W
4.599217986,4.706744868,4.618768328,H,W
4.594330401,4.604105572,4.618768328,H,W
4.599217986,4.516129032,4.623655914,H,W
4.594330401,4.433040078,4.623655914,H,W
4.594330401,4.447702835,4.6285435,H,W
4.604105572,4.393939394,4.6285435,H,W
4.604105572,4.408602151,4.6285435,H,W
0.151515152,0,4.076246334,H,W
0.004887586,0,3.328445748,H,W
0,0,3.167155425,H,W
0,0.019550342,2.683284457,H,W
4.589442815,5,4.613880743,H,W
4.594330401,4.916911046,4.618768328,H,W
4.594330401,4.848484848,4.623655914,H,W
4.599217986,4.775171065,4.623655914,H,W
4.604105572,4.68230694,4.623655914,H,W
0.537634409,0,4.276637341,H,W
0.14173998,0,3.48973607,H,W
0.004887586,0,2.937438905,H,W
0.004887586,0,2.795698925,H,W
0,0,2.424242424,H,W
0,0,2.194525904,H,W
0,0,2.057673509,H,W
0,0,1.984359726,H,W
0,0.014662757,1.793743891,H,W
4.58455523,5,4.604105572,H,W
4.599217986,5,4.613880743,H,W
4.608993157,4.965786901,4.618768328,H,W
4.613880743,4.838709677,4.623655914,H,W
4.613880743,4.77028348,4.623655914,H,W
4.613880743,4.643206256,4.6285435,H,W
0,0,3.8514174,H,W
0,0,3.401759531,H,W
0.004887586,0,3.059628543,H,W
0.004887586,0,2.575757576,H,W
0.004887586,0,2.487781036,H,W
0,5,2.174975562,S,TPU
0,5,2.741935484,S,TPU
0,5,2.961876833,S,TPU
4.638318671,3.597262952,4.990224829,S,TPU
4.731182796,5,4.995112414,S,TPU
4.750733138,5,4.995112414,S,TPU
4.750733138,5,4.995112414,S,TPU
4.750733138,5,4.990224829,S,TPU
0,3.196480938,4.662756598,S,TPU
2.737047898,2.316715543,0.342130987,S,TPU
4.648093842,4.193548387,4.995112414,S,TPU
4.672531769,4.506353861,4.995112414,S,TPU
4.677419355,4.892473118,4.990224829,S,TPU
4.68230694,5,4.995112414,S,TPU
3.988269795,4.6285435,5,S,TPU
0,4.301075269,4.750733138,S,TPU
0,4.418377322,4.799608993,S,TPU
0,4.2228739,4.72629521,S,TPU
4.652981427,3.401759531,5,S,TPU
4.696969697,3.616813294,4.995112414,S,TPU
0,2.06744868,4.775171065,S,TPU
0,2.947214076,0.566959922,S,TPU
4.633431085,4.457478006,4.946236559,S,TPU
0,1.642228739,4.740957967,S,TPU
4.35483871,4.72629521,4.462365591,S,TPU
4.633431085,5,4.995112414,S,TPU
0,1.446725318,4.701857283,S,TPU
4.403714565,5,4.599217986,S,TPU
4.550342131,4.916911046,4.990224829,S,TPU
0,0.82111437,4.657869013,S,TPU
4.31085044,3.440860215,4.740957967,S,TPU
4.550342131,4.315738025,4.970674487,S,TPU
4.560117302,4.315738025,4.970674487,S,TPU
4.560117302,4.252199413,4.907135875,S,TPU
0,1.476050831,4.545454545,S,TPU
4.330400782,5,4.907135875,S,TPU
4.54056696,5,4.995112414,S,TPU
4.555229717,4.995112414,5,S,TPU
4.550342131,4.990224829,5,S,TPU
4.555229717,4.975562072,5,S,TPU
4.555229717,4.970674487,5,S,TPU
0,0.865102639,4.608993157,S,TPU
4.203323558,4.784946237,5,S,TPU
4.652981427,5,5,S,TPU
4.657869013,5,5,S,TPU
4.648093842,2.11143695,4.926686217,S,TPU
0,1.974584555,4.403714565,S,TPU
4.340175953,4.261974585,5,S,TPU
4.374389052,4.12512219,5,S,TPU
0,2.448680352,4.608993157,S,TPU
2.306940371,4.95601173,5,S,TPU
2.917888563,4.789833822,5,S,TPU
0,2.600195503,4.775171065,S,TPU
0,2.42913001,0.601173021,S,TPU
0,1.676441838,0.303030303,S,TPU
0,0.386119257,4.100684262,S,TPU
0,2.160312805,3.39198436,S,TPU
0,0.860215054,3.998044966,S,TPU
0,1.026392962,3.963831867,S,TPU
0,0.224828935,3.523949169,S,TPU
0,1.173020528,3.128054741,S,TPU
0,1.974584555,2.189638319,S,TPU
0,0.723362659,2.209188661,S,TPU
0,1.940371457,1.793743891,S,TPU
0,0.967741935,2.174975562,S,TPU
0,0.957966764,2.130987292,S,TPU
0,1.001955034,2.072336266,S,TPU
0,1.803519062,1.783968719,S,TPU
0,0,2.722385142,S,TPU
0,0,1.823069404,S,TPU
0,0.205278592,1.539589443,S,TPU
0,2.321603128,2.24340176,S,TPU
0,0,1.168132942,S,TPU
